ID da Transação;Data;Hora;Produto;Unidade Vendida;Unidade da Cafeteria;Tipo de Cliente;Valor da Venda
1001;2025-04-06;12:31;Café Espresso;3;Centro;Regular;16.5
1002;2025-09-16;09:49;Salgado;1;Centro;Novo;7.0
1003;2025-07-13;10:47;Bolo de Chocolate;2;Universidade;Regular;17.0
1004;2025-06-05;19:26;Café Espresso;3;Centro;Novo;16.5
1005;2025-02-08;16:18;Bolo de Chocolate;2;Centro;Novo;17.0
1006;2025-02-08;20:45;Pão de Queijo;3;Centro;Regular;12.0
1007;2025-01-15;14:37;Café Espresso;3;Universidade;Regular;16.5
1008;2025-08-21;06:18;Cappuccino;1;Shopping;Novo;7.0
1009;2025-06-06;17:03;Cappuccino;2;Shopping;Regular;14.0
1010;2025-07-06;14:10;Café Espresso;3;Universidade;Regular;16.5
1011;2025-01-06;11:03;Café Espresso;2;Shopping;Novo;11.0
1012;2025-09-21;06:07;Pão de Queijo;3;Centro;Regular;12.0
1013;2025-08-11;19:58;Pão de Queijo;2;Universidade;Regular;8.0
1014;2025-02-23;07:10;Bolo de Chocolate;2;Shopping;Regular;17.0
1015;2025-02-15;20:10;Espresso Duplo;1;Shopping;Novo;8.0
1016;2025-02-15;13:53;Bolo de Chocolate;3;Universidade;Novo;25.5
1017;2025-03-18;13:37;Pão de Queijo;3;Centro;Regular;12.0
1018;2025-05-16;10:20;Sanduíche Natural;3;Centro;Novo;36.0
1019;2025-04-21;19:29;Bolo de Chocolate;3;Rodoviária;Regular;25.5
1020;2025-03-15;15:25;Café Espresso;1;Shopping;Regular;5.5
1021;2025-06-09;16:07;Cappuccino;1;Centro;Corporativo;7.0
1022;2025-02-04;12:07;Suco de Laranja;3;Universidade;Novo;18.0
1023;2025-03-15;17:07;Suco de Laranja;2;Centro;Novo;12.0
1024;2025-04-04;12:33;Pingado;1;Centro;Corporativo;3.5
1025;2025-04-27;16:15;Bolo de Chocolate;2;Centro;Novo;17.0
1026;2025-07-28;14:12;Chá Gelado;2;Universidade;Regular;13.0
1027;2025-02-19;12:11;Café Espresso;2;Centro;Regular;11.0
1028;2025-05-13;16:21;Pão de Queijo;3;Universidade;Regular;12.0
1029;2025-06-04;14:48;Chá Gelado;1;Centro;Regular;6.5
1030;2025-01-12;16:01;Cappuccino;3;Shopping;Novo;21.0
1031;2025-06-08;18:32;Café Espresso;2;Centro;Novo;11.0
1032;2025-02-12;15:27;Cappuccino;3;Centro;Novo;21.0
1033;2025-01-17;08:42;Salgado;2;Universidade;Regular;14.0
1034;2025-09-15;10:32;Café Espresso;3;Shopping;Regular;16.5
1035;2025-09-20;09:29;Bolo de Chocolate;3;Shopping;Novo;25.5
1036;2025-08-04;18:07;Café Espresso;1;Centro;Novo;5.5
1037;2025-03-18;11:16;Cappuccino;1;Universidade;Novo;7.0
1038;2025-01-25;17:00;Espresso Duplo;2;Centro;Regular;16.0
1039;2025-06-30;08:45;Café Espresso;2;Universidade;Novo;11.0
1040;2025-04-23;15:30;Café Espresso;2;Universidade;Regular;11.0
1041;2025-01-31;13:42;Cappuccino;3;Centro;Novo;21.0
1042;2025-05-08;16:45;Pão de Queijo;2;Centro;Regular;8.0
1043;2025-01-09;13:34;Cappuccino;1;Universidade;Novo;7.0
1044;2025-09-03;12:27;Pão de Queijo;2;Centro;Regular;8.0
1045;2025-03-06;08:03;Espresso Duplo;2;Universidade;Novo;16.0
